id,date,site,resp_sex,resp_age,resp_race,resp_ethnicity,resp_citizenship,resp_major,resp_pid,resp_nativelang,resp_religion,resp_american,resp_american_pid,resp_american_ideo,exp_sex,exp_race,study_numparticipants,study_exprunafter,study_separated,study_recruit,study_compensation,study_online,study_country,study_usa,filter_iat,iv,dv,original_study,original_study_name,resp_gender,resp_ethnicity_hisp,RACE,RACE_american_indian,RACE_black_american,RACE_brazil,RACE_east_asian,RACE_more_than_one,RACE_nederland,RACE_others,RACE_south_asian,RACE_white,MAJOR,MAJOR_Engineer,MAJOR_Science,MAJOR_Social,MAJOR_others,resp_polideo,_selection_prob,_preferred_treatment
2400856.0,2013-08-28 12:13:49,abington,female,19.0,south asian,,CN,Visual and performing arts,Neutral (Moderate),other,,6.0,7.0,4.0,male,white,5,runafter,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.16989247311827957,south_asian,False,False,False,False,False,False,False,True,False,others,False,False,False,True,3.0,0.48131424156465696,1
2400872.0,2013-08-28 12:11:58,abington,male,18.0,white,not hispanic or latino,US,"Engineering, mathematics, physical sciences/technologies",Strongly Conservative,english,,11.0,5.0,5.0,male,white,,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,white,False,False,False,False,False,False,False,False,True,Engineer,True,False,False,False,0.0,0.19365789419975202,0
2400916.0,2013-08-28 12:19:14,abington,female,18.0,south asian,not hispanic or latino,US,"Engineering, mathematics, physical sciences/technologies",Neutral (Moderate),english,,11.0,4.0,4.0,male,white,5,runalone,nobarriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,south_asian,False,False,False,False,False,False,False,True,False,Engineer,True,False,False,False,3.0,0.4637310746408869,0
2400925.0,2013-08-28 12:16:21,abington,male,19.0,east asian,,US,Education,Neutral (Moderate),english,,7.0,3.0,6.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.16989247311827957,east_asian,False,False,False,True,False,False,False,False,False,Social,False,False,True,False,3.0,0.20491368620624903,1
2407225.0,2013-09-03 11:16:17,abington,female,18.0,south asian,,IN,"Engineering, mathematics, physical sciences/technologies",Strongly Liberal,english,,8.0,4.0,4.0,male,white,3,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.16989247311827957,south_asian,False,False,False,False,False,False,False,True,False,Engineer,True,False,False,False,6.0,0.4637310746408869,1
2407227.0,2013-09-03 11:15:06,abington,female,18.0,white,not hispanic or latino,US,Business,Strongly Liberal,english,,11.0,3.0,4.0,male,white,3,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,white,False,False,False,False,False,False,False,False,True,others,False,False,False,True,6.0,0.4637310746408869,1
2407271.0,2013-09-03 11:35:38,abington,female,18.0,white,not hispanic or latino,UA,Visual and performing arts,Strongly Liberal,english,,7.0,4.0,4.0,male,white,3,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,white,False,False,False,False,False,False,False,False,True,others,False,False,False,True,6.0,0.4637310746408869,0
2407288.0,2013-09-03 12:22:40,abington,female,19.0,white,hispanic or latino,PR,Law or legal studies,Neutral (Moderate),spanish,,8.0,4.0,4.0,female,hispanic or latino,9,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,1.0,white,False,False,False,False,False,False,False,False,True,Social,False,False,True,False,3.0,0.48131424156465696,0
2407289.0,2013-09-03 12:21:46,abington,female,31.0,black or african american,not hispanic or latino,HT,Law or legal studies,Moderately Liberal,other,,9.0,5.0,6.0,male,white,9,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,black_american,False,True,False,False,False,False,False,False,False,Social,False,False,True,False,5.0,0.6839229664000194,1
2407369.0,2013-09-03 12:48:14,abington,female,18.0,black or african american,not hispanic or latino,US,Business,Neutral (Moderate),english,,11.0,5.0,3.0,male,white,9,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,black_american,False,True,False,False,False,False,False,False,False,others,False,False,False,True,3.0,0.4637310746408869,0
2407373.0,2013-09-03 12:39:44,abington,female,20.0,white,not hispanic or latino,US,Law or legal studies,Neutral (Moderate),english,,11.0,4.0,5.0,male,white,9,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,white,False,False,False,False,False,False,False,False,True,Social,False,False,True,False,3.0,0.49894381153638084,0
2407404.0,2013-09-03 12:47:43,abington,female,20.0,black or african american,not hispanic or latino,US,Law or legal studies,Neutral (Moderate),english,,8.0,7.0,5.0,male,white,9,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,black_american,False,True,False,False,False,False,False,False,False,Social,False,False,True,False,3.0,0.49894381153638084,0
2407412.0,2013-09-03 12:51:36,abington,male,20.0,east asian,not hispanic or latino,US,Biological sciences/life sciences,Neutral (Moderate),other,,6.0,2.0,4.0,male,white,9,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,east_asian,False,False,False,True,False,False,False,False,False,Science,False,True,False,False,3.0,0.2166479148447882,0
2408059.0,2013-09-03 17:57:42,abington,male,19.0,black or african american,,US,,Slightly Liberal,english,,11.0,3.0,3.0,female,white,2,runalone,nobarriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.16989247311827957,black_american,False,True,False,False,False,False,False,False,False,others,False,False,False,True,4.0,0.20491368620624903,1
2409145.0,2013-09-04 12:15:43,abington,male,19.0,white,not hispanic or latino,US,Law or legal studies,Moderately Liberal,english,,4.0,4.0,4.0,male,white,7,runalone,separaterooms,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,white,False,False,False,False,False,False,False,False,True,Social,False,False,True,False,5.0,0.20491368620624903,0
2409150.0,2013-09-04 12:16:13,abington,male,18.0,white,not hispanic or latino,US,"Engineering, mathematics, physical sciences/technologies",Moderately Liberal,english,,9.0,5.0,5.0,male,white,7,runalone,separaterooms,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,white,False,False,False,False,False,False,False,False,True,Engineer,True,False,False,False,5.0,0.19365789419975202,0
2409203.0,2013-09-04 12:46:21,abington,female,23.0,white,not hispanic or latino,US,Law or legal studies,Neutral (Moderate),english,,11.0,4.0,4.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,white,False,False,False,False,False,False,False,False,True,Social,False,False,True,False,3.0,0.5516734783486922,0
2409204.0,2013-09-04 12:39:49,abington,male,22.0,white,not hispanic or latino,RU,"Humanities (English, history, languages, philosophy, religion, etc.)",Neutral (Moderate),other,,11.0,1.0,7.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,white,False,False,False,False,False,False,False,False,True,others,False,False,False,True,3.0,0.24154960625915167,0
2409209.0,2013-09-04 12:47:27,abington,male,26.0,white,not hispanic or latino,US,Law or legal studies,Slightly Conservative,english,,10.0,5.0,5.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,white,False,False,False,False,False,False,False,False,True,Social,False,False,True,False,2.0,0.2969237162349013,0
2409217.0,2013-09-04 12:42:31,abington,female,20.0,east asian,not hispanic or latino,US,Communications,Neutral (Moderate),english,,11.0,1.0,4.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,east_asian,False,False,False,True,False,False,False,False,False,Social,False,False,True,False,3.0,0.49894381153638084,1
2409259.0,2013-09-04 13:21:25,abington,female,18.0,other or unknown,,US,"Engineering, mathematics, physical sciences/technologies",Neutral (Moderate),other,,7.0,1.0,4.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.16989247311827957,others,False,False,False,False,False,False,True,False,False,Engineer,True,False,False,False,3.0,0.4637310746408869,1
2409264.0,2013-09-04 13:27:37,abington,male,19.0,nan,,US,Visual and performing arts,,,,5.0,4.0,4.0,male,white,5,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,0.0,1.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.16989247311827957,others,False,False,False,False,False,False,True,False,False,others,False,False,False,True,3.3771073646850045,0.20491368620624903,1
2409552.0,2013-09-04 16:20:29,abington,female,20.0,other or unknown,,US,Law or legal studies,,english,,10.0,4.0,4.0,male,white,4,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.16989247311827957,others,False,False,False,False,False,False,True,False,False,Social,False,False,True,False,3.3771073646850045,0.49894381153638084,1
2409556.0,2013-09-04 16:23:34,abington,male,18.0,east asian,not hispanic or latino,US,Visual and performing arts,Neutral (Moderate),english,,4.0,3.0,3.0,male,white,4,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,east_asian,False,False,False,True,False,False,False,False,False,others,False,False,False,True,3.0,0.19365789419975202,1
2409603.0,2013-09-04 16:57:29,abington,female,18.0,black or african american,not hispanic or latino,US,"Engineering, mathematics, physical sciences/technologies",Neutral (Moderate),english,,11.0,3.0,4.0,male,white,4,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,black_american,False,True,False,False,False,False,False,False,False,Engineer,True,False,False,False,3.0,0.4637310746408869,0
2409607.0,2013-09-04 16:58:21,abington,female,21.0,east asian,not hispanic or latino,JP,Law or legal studies,Neutral (Moderate),other,,1.0,4.0,4.0,male,white,4,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,1.0,1.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",1.0,0.0,east_asian,False,False,False,True,False,False,False,False,False,Social,False,False,True,False,3.0,0.5165760080327509,1
2410997.0,2013-09-05 11:45:07,abington,male,20.0,white,not hispanic or latino,US,Biological sciences/life sciences,Neutral (Moderate),other,,10.0,3.0,3.0,male,white,4,runalone,barriers,unisubjpool,coursecredit,0.0,USA,1,1.0,0.0,2.0,gainloss,"Gain vs loss framing (Tversky & Kahneman, 1981)",0.0,0.0,white,False,False,False,False,False,False,False,False,True,Science,False,True,False,False,3.0,0.2166479148447882,0
